20-07-2016 00:25:31 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [4566.73,15414.2,0](GPS: 045154) (v0228B)
20-07-2016 00:25:50 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [4564.43,15415.2,0](GPS: 045154) (v0228B)
20-07-2016 00:26:50 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | infiSTAR AI ESP - 1 (v0228B)
20-07-2016 00:26:57 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | infiSTAR Player ESP 2 - 1 (v0228B)
20-07-2016 00:26:57 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | infiSTAR Player ESP 1 - 1 (v0228B)
20-07-2016 00:26:58 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | infiSTAR MapIcons - 1 (v0228B)
20-07-2016 00:27:07 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Teleport to [4936.93,16139.6,0](GPS: 049161) (v0228B)
20-07-2016 00:27:31 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Teleport to [20949.1,16964.7,0](GPS: 209169) (v0228B)
20-07-2016 00:27:56 infiSTAR.de | 0h 9min | Mateuus(76561198065694695) | Teleport to [10394.4,19064.7,0](GPS: 103190) (v0228B)
20-07-2016 00:28:13 infiSTAR.de | 0h 9min | Mateuus(76561198065694695) | Teleport to [20947.6,16965,0](GPS: 209169) (v0228B)
20-07-2016 01:23:14 infiSTAR.de | 0h 5min | Mateuus(76561198065694695) | God Mode - 1 (v0228B)
20-07-2016 01:23:22 infiSTAR.de | 0h 5min | Mateuus(76561198065694695) | Exploding Mateuus(76561198065694695) @036131 (v0228B)
20-07-2016 01:23:22 infiSTAR.de | 0h 5min | Mateuus(76561198065694695) | Explode - civ_1(76561198065694695) (v0228B)
20-07-2016 01:24:09 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [5033.7,14438.1,0](GPS: 050144) (v0228B)
20-07-2016 01:24:51 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Exploding Mateuus(76561198065694695) @044140 (v0228B)
20-07-2016 01:24:51 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Explode - civ_1(76561198065694695) (v0228B)
20-07-2016 01:48:40 infiSTAR.de | 387h 52min | Mateuus(76561198065694695) | God Mode - 1 (v0228B)
20-07-2016 01:48:41 infiSTAR.de | 387h 52min | Mateuus(76561198065694695) | Explode - civ_1(76561198065694695) (v0228B)
20-07-2016 01:48:41 infiSTAR.de | 387h 52min | Mateuus(76561198065694695) | Exploding Mateuus(76561198065694695) @036131 (v0228B)
20-07-2016 01:49:16 infiSTAR.de | 387h 52min | Mateuus(76561198065694695) | Teleport to [3630.69,13080.1,0](GPS: 036130) (v0228B)
20-07-2016 02:13:50 infiSTAR.de | 388h 17min | Mateuus(76561198065694695) | God Mode - 1 (v0228B)
20-07-2016 02:13:55 infiSTAR.de | 388h 17min | Mateuus(76561198065694695) | Zeus - civ_1(76561198065694695) (v0228B)
20-07-2016 02:13:55 infiSTAR.de | 388h 17min | Mateuus(76561198065694695) | Zeus Mateuus(76561198065694695) @036130 (v0228B)
20-07-2016 02:18:40 infiSTAR.de | 388h 22min | Mateuus(76561198065694695) | God Mode - 1 (v0228B)
20-07-2016 02:18:42 infiSTAR.de | 388h 22min | Mateuus(76561198065694695) | Zeus - civ_1(76561198065694695) (v0228B)
20-07-2016 02:18:42 infiSTAR.de | 388h 22min | Mateuus(76561198065694695) | Zeus Mateuus(76561198065694695) @036130 (v0228B)
20-07-2016 02:23:59 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Zeus Mateuus(76561198065694695) @036130 (v0228B)
20-07-2016 02:23:59 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Zeus - civ_1(76561198065694695) (v0228B)
20-07-2016 02:26:17 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Explode - civ_1(76561198065694695) (v0228B)
20-07-2016 02:26:17 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Exploding Mateuus(76561198065694695) @036131 (v0228B)
20-07-2016 03:23:30 infiSTAR.de | 389h 26min | Mateuus(76561198065694695) | Teleport to [5242.49,11511.3,0](GPS: 052115) (v0228B)
20-07-2016 03:25:40 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [3627.68,13081.2,0](GPS: 036130) (v0228B)
20-07-2016 03:26:03 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [5242.58,11513.2,0](GPS: 052115) (v0228B)
20-07-2016 03:31:41 infiSTAR.de | 0h 13min | Mateuus(76561198065694695) | Teleport - Me To Target - Jonny [CIV](76561198112843376) (v0228B)
20-07-2016 03:31:48 infiSTAR.de | 0h 13min | Mateuus(76561198065694695) | Teleport to [3629.6,13081.6,0](GPS: 036130) (v0228B)
20-07-2016 03:31:49 infiSTAR.de | 0h 13min | Mateuus(76561198065694695) | Teleport to [3629.79,13085.3,0](GPS: 036130) (v0228B)
20-07-2016 03:31:54 infiSTAR.de | 0h 13min | Mateuus(76561198065694695) | Teleport - Target To Me - Jonny [CIV](76561198112843376) (v0228B)
20-07-2016 03:32:27 infiSTAR.de | 0h 14min | Mateuus(76561198065694695) | Teleport to [5244.2,11513.7,0](GPS: 052115) (v0228B)
20-07-2016 03:48:13 infiSTAR.de | 0h 9min | Mateuus(76561198065694695) | Teleport to [3628.66,13080.5,0](GPS: 036130) (v0228B)
20-07-2016 03:48:39 infiSTAR.de | 0h 9min | Mateuus(76561198065694695) | Teleport to [5242.9,11512.3,0](GPS: 052115) (v0228B)
20-07-2016 04:06:01 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Teleport to [3675.17,13156.4,0](GPS: 036131) (v0228B)
20-07-2016 04:06:15 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Teleport to [5242.56,11512.1,0](GPS: 052115) (v0228B)
20-07-2016 04:12:20 infiSTAR.de | 390h 15min | Mateuus(76561198065694695) | Teleport to [3673.2,13154.1,0](GPS: 036131) (v0228B)
20-07-2016 04:12:31 infiSTAR.de | 390h 15min | Mateuus(76561198065694695) | Teleport to [3628.69,13079.3,0](GPS: 036130) (v0228B)
20-07-2016 04:13:00 infiSTAR.de | 390h 16min | Mateuus(76561198065694695) | Teleport to [5242.05,11514.6,0](GPS: 052115) (v0228B)
20-07-2016 04:34:37 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Teleport to [3630.55,13078.1,0](GPS: 036130) (v0228B)
20-07-2016 04:34:57 infiSTAR.de | 0h 9min | Mateuus(76561198065694695) | Teleport to [5242.46,11508.9,0](GPS: 052115) (v0228B)
20-07-2016 04:42:40 infiSTAR.de | 390h 46min | Mateuus(76561198065694695) | Teleport to [3629.77,13078,0](GPS: 036130) (v0228B)
20-07-2016 04:43:00 infiSTAR.de | 390h 46min | Mateuus(76561198065694695) | Teleport to [5243.18,11507.8,0](GPS: 052115) (v0228B)
20-07-2016 05:09:46 infiSTAR.de | 0h 5min | Mateuus(76561198065694695) | Teleport to [3629.09,13076.5,0](GPS: 036130) (v0228B)
20-07-2016 05:10:08 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [5242.49,11514.4,0](GPS: 052115) (v0228B)
20-07-2016 06:05:09 infiSTAR.de | 392h 8min | Mateuus(76561198065694695) | Teleport to [17971.4,19134.4,0](GPS: 179191) (v0228B)
20-07-2016 06:05:15 infiSTAR.de | 392h 8min | Mateuus(76561198065694695) | Teleport to [18025.8,19149.5,0](GPS: 180191) (v0228B)
20-07-2016 06:18:11 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [17960.3,19126.2,0](GPS: 179191) (v0228B)
20-07-2016 06:18:53 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [14679.5,16771,0](GPS: 146167) (v0228B)
20-07-2016 06:19:10 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [18046.8,19153.1,0](GPS: 180191) (v0228B)
20-07-2016 06:19:27 infiSTAR.de | 0h 8min | Jonny(76561198112843376) | Teleport to [11595.8,11995.5,0](GPS: 115119) (v0228B)
20-07-2016 06:20:10 infiSTAR.de | 0h 8min | Jonny(76561198112843376) | Teleport to [11539.5,12055.7,0](GPS: 115120) (v0228B)
20-07-2016 06:20:13 infiSTAR.de | 0h 8min | Jonny(76561198112843376) | Teleport to [11598.5,11996.1,0](GPS: 115119) (v0228B)
20-07-2016 06:22:35 infiSTAR.de | 0h 11min | Jonny(76561198112843376) | Teleport to [5241.95,11516.4,0](GPS: 052115) (v0228B)
20-07-2016 06:22:44 infiSTAR.de | 0h 11min | Jonny(76561198112843376) | Teleport to [5108.09,11242.6,0](GPS: 051112) (v0228B)
20-07-2016 06:23:25 infiSTAR.de | 0h 12min | Jonny(76561198112843376) | Teleport to [5243.6,11515.8,0](GPS: 052115) (v0228B)
20-07-2016 06:24:19 infiSTAR.de | 0h 12min | Jonny(76561198112843376) | Teleport to [11603.3,12001.9,0](GPS: 116120) (v0228B)
20-07-2016 06:38:25 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [17969.6,19137.5,0](GPS: 179191) (v0228B)
20-07-2016 06:38:31 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [18049,19172.7,0](GPS: 180191) (v0228B)
20-07-2016 06:38:54 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [8952.41,7506.16,0](GPS: 089075) (v0228B)
20-07-2016 06:38:55 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [8993.1,7485.3,0](GPS: 089074) (v0228B)
20-07-2016 06:39:01 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [8980.67,7527.71,0](GPS: 089075) (v0228B)
20-07-2016 06:39:01 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [9000.64,7542.19,0](GPS: 090075) (v0228B)
20-07-2016 06:39:14 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [3629.78,13077,0](GPS: 036130) (v0228B)
20-07-2016 06:39:31 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [5241.99,11513.8,0](GPS: 052115) (v0228B)
