22-07-2016 02:18:53 infiSTAR.de | 0h 6min | Michael Jackson(76561198129878487) | Teleport to [13827.8,18977,0](GPS: 138189) (v0228B)
22-07-2016 02:18:56 infiSTAR.de | 0h 6min | Michael Jackson(76561198129878487) | Teleport to [13827.8,18975.7,0](GPS: 138189) (v0228B)
22-07-2016 02:18:57 infiSTAR.de | 0h 6min | Michael Jackson(76561198129878487) | Teleport to [13826.2,18979,0](GPS: 138189) (v0228B)
22-07-2016 02:18:58 infiSTAR.de | 0h 6min | Michael Jackson(76561198129878487) | Teleport to [13821.9,18982.3,0](GPS: 138189) (v0228B)
22-07-2016 02:21:33 infiSTAR.de | 0h 9min | Michael Jackson(76561198129878487) | Teleport - Me To Target - CEL.Dayan [CIV](76561198078478177) (v0228B)
22-07-2016 02:23:21 infiSTAR.de | 0h 11min | Michael Jackson(76561198129878487) | Added 3 glasss to Michael Jackson! (v0228B)
22-07-2016 02:36:38 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Teleport to [2462.95,22295,0](GPS: 024222) (v0228B)
22-07-2016 02:37:05 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Teleport to [9191.05,21639.9,0](GPS: 091216) (v0228B)
22-07-2016 02:37:07 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Teleport to [9170.53,21655,0](GPS: 091216) (v0228B)
22-07-2016 02:37:08 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Teleport to [9188.91,21609,0](GPS: 091216) (v0228B)
22-07-2016 02:37:09 infiSTAR.de | 0h 10min | Mateuus(76561198065694695) | Teleport to [9188.91,21609,0](GPS: 091216) (v0228B)
22-07-2016 02:39:47 infiSTAR.de | 0h 13min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [2422.62,22384.5,0](GPS: 024223) (v0228B)
22-07-2016 02:39:48 infiSTAR.de | 0h 13min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [2463.33,22231.8,0](GPS: 024222) (v0228B)
22-07-2016 02:39:50 infiSTAR.de | 0h 13min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [2455.03,22260,0](GPS: 024222) (v0228B)
22-07-2016 02:40:45 infiSTAR.de | 0h 14min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [3674.76,13157.9,0](GPS: 036131) (v0228B)
22-07-2016 02:40:55 infiSTAR.de | 0h 14min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [2461.18,22291,0](GPS: 024222) (v0228B)
22-07-2016 02:41:50 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [14345.8,18947,0](GPS: 143189) (v0228B)
22-07-2016 02:42:45 infiSTAR.de | 0h 16min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [3655.84,13083.4,0](GPS: 036130) (v0228B)
22-07-2016 02:48:14 infiSTAR.de | 0h 21min | [CMD. G. SAMU] DanMothe(76561198118580246) | Added 10 goldbars to [CMD. G. SAMU] DanMothe! (v0228B)
22-07-2016 02:48:53 infiSTAR.de | 0h 22min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [5185.42,20864.6,0](GPS: 051208) (v0228B)
22-07-2016 02:48:59 infiSTAR.de | 0h 22min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [5186.46,20870.9,0](GPS: 051208) (v0228B)
22-07-2016 02:50:06 infiSTAR.de | 0h 23min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [8442.76,12757.6,0](GPS: 084127) (v0228B)
22-07-2016 02:50:45 infiSTAR.de | 0h 24min | Arlindo Neto(76561198112843376) | Teleport to [4885.54,14421.3,0](GPS: 048144) (v0228B)
22-07-2016 02:50:58 infiSTAR.de | 0h 24min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [5188.7,20872.1,0](GPS: 051208) (v0228B)
22-07-2016 02:51:18 infiSTAR.de | 0h 24min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [3674.54,13157.3,0](GPS: 036131) (v0228B)
22-07-2016 02:51:50 infiSTAR.de | 0h 25min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [5203.53,20855.9,0](GPS: 052208) (v0228B)
22-07-2016 02:52:07 infiSTAR.de | 0h 25min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [4884.17,14415.3,0](GPS: 048144) (v0228B)
22-07-2016 02:52:34 infiSTAR.de | 0h 26min | Arlindo Neto(76561198112843376) | Added 2 cocaine_unprocesseds to Arlindo Neto! (v0228B)
22-07-2016 02:52:57 infiSTAR.de | 0h 26min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [19984.2,8435.87,0](GPS: 199084) (v0228B)
22-07-2016 03:04:05 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | Teleport to [3726.93,13006.4,0](GPS: 037130) (v0228B)
22-07-2016 03:04:13 infiSTAR.de | 0h 10min | Arlindo Neto(76561198112843376) | infiSTAR MapIcons - 1 (v0228B)
22-07-2016 03:05:27 infiSTAR.de | 0h 11min | Mateuus(76561198065694695) | Added 10 ziptiess to Mateuus! (v0228B)
22-07-2016 03:06:08 infiSTAR.de | 0h 11min | Mateuus(76561198065694695) | Teleport - Target To Me - [CMD. G. SAMU] DanMothe [CIV](76561198118580246) (v0228B)
22-07-2016 03:06:23 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | spawning Rahim 7,62 mm (srifle_DMR_01_ACO_F) (v0228B)
22-07-2016 03:06:34 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:06:34 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:07:06 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:07:07 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:07:07 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:07:07 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:07:09 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Added 1 plierss to Arlindo Neto! (v0228B)
