24-06-2016 05:06:29 infiSTAR.de | 0h 8min | Arlindo Neto(76561198112843376) | Teleport to [3673.28,13157.4,0](GPS: 036131) (v0228B)
24-06-2016 05:07:40 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | spawning Zafir 7,62 mm (LMG_Zafir_F) (v0228B)
24-06-2016 05:07:54 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | God Mode - 1 (v0228B)
24-06-2016 05:07:55 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | God Mode - 0 (v0228B)
24-06-2016 05:07:58 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | God Mode - 1 (v0228B)
24-06-2016 05:08:07 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | Explode - civ_1(76561198112843376) (v0228B)
24-06-2016 05:08:07 infiSTAR.de | 0h 9min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @036131 (v0228B)
24-06-2016 05:10:19 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [3654.82,13082.5,0](GPS: 036130) (v0228B)
24-06-2016 05:10:39 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | Teleport to [3650.21,13097.2,0](GPS: 036130) (v0228B)
24-06-2016 05:12:40 infiSTAR.de | 0h 14min | Arlindo Neto(76561198112843376) | Deleting C_Hatchback_01_sport_F @036131.. (v0228B)
24-06-2016 05:13:36 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | Teleport to [3651.36,13097,0](GPS: 036130) (v0228B)
24-06-2016 05:14:46 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Teleport to [3649.95,13096.7,0](GPS: 036130) (v0228B)
24-06-2016 05:14:53 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Teleport to [3623.47,13101.1,0](GPS: 036131) (v0228B)
24-06-2016 05:14:59 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Teleport to [3674.55,13155.4,0](GPS: 036131) (v0228B)
24-06-2016 05:16:20 infiSTAR.de | 0h 18min | Arlindo Neto(76561198112843376) | Teleport to [3644.2,13244.3,0](GPS: 036132) (v0228B)
24-06-2016 05:17:13 infiSTAR.de | 0h 18min | Arlindo Neto(76561198112843376) | Teleport to [3671.11,13157.2,0](GPS: 036131) (v0228B)
24-06-2016 05:43:00 infiSTAR.de | 58h 38min | Mateuus(76561198065694695) | Teleport to [3645.06,13090.5,0](GPS: 036130) (v0228B)
24-06-2016 05:43:33 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [3626.52,13098.9,0](GPS: 036130) (v0228B)
